,,,abs(corr)
mu.062,ks,critical_diff,0.1601090355114085
mu.062,ks,critical_value,0.0
mu.062,ks,distance,0.1601090355114085
mu.062,ks,pval,0.24575716921716237
mu.063,ks,critical_diff,0.011553658303614944
mu.063,ks,critical_value,0.0
mu.063,ks,distance,0.011553658303614935
mu.063,ks,pval,0.11556870785606739
mu.064,ks,critical_diff,0.1373781920245244
mu.064,ks,critical_value,0.0
mu.064,ks,distance,0.13737819202452442
mu.064,ks,pval,0.059719164793552916
mu.065,ks,critical_diff,0.5986408078693883
mu.065,ks,critical_value,0.0
mu.065,ks,distance,0.5986408078693884
mu.065,ks,pval,0.559902778925335
mu.066,ks,critical_diff,0.08858568946813272
mu.066,ks,critical_value,0.0
mu.066,ks,distance,0.08858568946813283
mu.066,ks,pval,0.27160579281316505
mu.067,ks,critical_diff,0.6020680981531389
mu.067,ks,critical_value,0.0
mu.067,ks,distance,0.6020680981531387
mu.067,ks,pval,0.3757047347776854
mu.068,ks,critical_diff,0.39401303171410024
mu.068,ks,critical_value,0.0
mu.068,ks,distance,0.39401303171410024
mu.068,ks,pval,0.2717684210439122
mu.069,ks,critical_diff,0.7432565421923789
mu.069,ks,critical_value,0.0
mu.069,ks,distance,0.7432565421923789
mu.069,ks,pval,0.627411085165729
mu.070,ks,critical_diff,0.3383958724351015
mu.070,ks,critical_value,0.0
mu.070,ks,distance,0.33839587243510155
mu.070,ks,pval,0.08301312834522404
mu.071,ks,critical_diff,0.6560080328817716
mu.071,ks,critical_value,0.0
mu.071,ks,distance,0.6560080328817717
mu.071,ks,pval,0.5918105755337012
mu.072,ks,critical_diff,0.149936121085661
mu.072,ks,critical_value,0.0
mu.072,ks,distance,0.149936121085661
mu.072,ks,pval,0.00025470655046477787
mu.073,ks,critical_diff,0.27687983544982986
mu.073,ks,critical_value,0.0
mu.073,ks,distance,0.2768798354498299
mu.073,ks,pval,0.4919368518969821
mu.074,ks,critical_diff,0.25907458211439377
mu.074,ks,critical_value,0.0
mu.074,ks,distance,0.2590745821143938
mu.074,ks,pval,0.06918631629740145
mu.075,ks,critical_diff,0.11366156044722846
mu.075,ks,critical_value,0.0
mu.075,ks,distance,0.1136615604472285
mu.075,ks,pval,0.13370634224113728
mu.076,ks,critical_diff,0.9041350288964245
mu.076,ks,critical_value,0.0
mu.076,ks,distance,0.9041350288964244
mu.076,ks,pval,0.4774123365912096
mu.077,ks,critical_diff,0.1200773827472533
mu.077,ks,critical_value,0.0
mu.077,ks,distance,0.12007738274725338
mu.077,ks,pval,0.336475198851725
mu.078,ks,critical_diff,0.22314612406658418
mu.078,ks,critical_value,0.0
mu.078,ks,distance,0.2231461240665842
mu.078,ks,pval,0.39535493969712526
mu.079,ks,critical_diff,0.46263642938277416
mu.079,ks,critical_value,0.0
mu.079,ks,distance,0.46263642938277416
mu.079,ks,pval,0.2478203882419526
mu.080,ks,critical_diff,0.40573539333302766
mu.080,ks,critical_value,0.0
mu.080,ks,distance,0.40573539333302777
mu.080,ks,pval,0.5061752680618274
mu.081,ks,critical_diff,0.9162454710289667
mu.081,ks,critical_value,0.0
